Asset,Name,Available,Pending,Held,AssetID
0XMR,0xMonero,0.00000000,0.00000000,0.00000000,647896e7095372f59d8f9734
AAVE,Aave,0.00000000,0.00000000,0.00000000,64c9749172dd5827fb3704c6
ADA,Cardano,0.00000000,0.00000000,0.00000000,642ee487ffae8cfbd27c061c
ADM,ADAMANT Messenger,0.00000000,0.00000000,0.00000000,655e2baf2fe4008f8d03f452
ALF,Alf,0.00000000,0.00000000,0.00000000,6501c4ddce0a38de934de9cb
ALPH,Alephium,0.00000000,0.00000000,0.00000000,64f90ac52fef53e3689f2271
APE,ApeCoin,0.00000000,0.00000000,0.00000000,64c97476992bace4c8f135f7
APX,AstroPepeX,0.00000000,0.00000000,0.00000000,6571cbf6de12b73b776d3e85
ARB,Arbitrum,0.00000000,0.00000000,0.00000000,64bedc5f5d90984cdbf62c4b
ARQ,ArQmA,0.00000000,0.00000000,0.00000000,646686f657b865d12bb2b044
ARRR,Pirate Chain,0.00000000,0.00000000,0.00000000,642eb848775d524b9deae692
ATOR,AirTor Protocol,0.00000000,0.00000000,0.00000000,64d62332812ebda75411ff27
AYIN,Ayin,0.00000000,0.00000000,0.00000000,6500d912f17428273f937761
BB,BeamBots Token,0.00000000,0.00000000,0.00000000,64b14763c1456d508263ec57
BBC,Babacoin,0.00000000,0.00000000,0.00000000,64da2db6c191094edf69f8a6
BCA,Bitcoin Atom,0.00000000,0.00000000,0.00000000,652174ab0472cccce9d7e91c
BCH,Bitcoin Cash,0.00000000,0.00000000,0.00000000,642ee5a8e6c031a4f79a8276
BEAM,BEAM,0.00000000,0.00000000,0.00000000,644528e5a99847b8c369180c
BEAMX,BEAMX,0.00000000,0.00000000,0.00000000,64a71230962663c6c7d8f227
BEN,Ben,0.00000000,0.00000000,0.00000000,645a3d139e06caeb257ede5e
BIT,Bitnet IO,0.00000000,0.00000000,0.00000000,656a08dd4b816286ebc0ee1a
BITCOIN,HarryPotterObamaSonic10Inu,0.00000000,0.00000000,0.00000000,64b951700809ba99edd688cf
BNB,Binance Coin,0.00000000,0.00000000,0.00000000,6434d36c10abf9126a5923d3
BSOV,BSOV Token,0.00000000,0.00000000,0.00000000,6542cd28eb2d22ec50cb3780
BTBR,BITSBR,0.00000000,0.00000000,0.00000000,655c1279aa115c638f8e5f19
BTC,Bitcoin,0.00000000,0.00000000,0.00000000,642adb1f638a16999e589a20
CCX,Conceal,0.00000000,0.00000000,0.00000000,642ee40a1593b4861ecf561b
CHIZA,CHIZA,0.00000000,0.00000000,0.00000000,6552735ddaa9378ee85eff01
COMET,Comet,0.00000000,0.00000000,0.00000000,6547ead5c4bec15ce9b38758
COMP,Compound,0.00000000,0.00000000,0.00000000,64c9745428c8842e18b8fb11
CRV,Curve DAO,0.00000000,0.00000000,0.00000000,64c9746bb9a00f565341ace2
CY,Cyberyen,0.00000000,0.00000000,0.00000000,6494973e7cd3688782a1cdf2
CYBER,CyberConnect,0.00000000,0.00000000,0.00000000,64e42c1675940bad5c7fbafb
D2T,Dash 2 Trade,0.00000000,0.00000000,0.00000000,64cbb370146b3bc01e63b98f
DAI,Dai,0.00000000,0.00000000,0.00000000,643bc8beca6162d13645c554
DASH,Dash,0.00000000,0.00000000,0.00000000,64a6e6ddb87561b20bdae2a6
DERO,Dero,0.00000000,0.00000000,0.00000000,642ee3ad7963f8938fac5e46
DGB,DigiByte,0.00000000,0.00000000,0.00000000,64b6d025c8514ca3210db68b
DNX,Dynex,0.00000000,0.00000000,0.00000000,642ee43e3ef0700f96f2453c
DOGE,Dogecoin,0.00000000,0.00000000,0.00000000,642ee4f739b417797fe2959f
DRGX,DragonX,0.00000000,0.00000000,0.00000000,64fa7e58e3403b3f28ef901f
EFCR,EFLANCER,0.00000000,0.00000000,0.00000000,657071167660255c0db28838
EMC,ElonCoin,0.00000000,0.00000000,0.00000000,654d292d1c874a861e68647d
EPOS,TabbyPOS,0.00000000,0.00000000,0.00000000,6512261e56636d445a867666
EPPE,Pepperscore,0.00000000,0.00000000,0.00000000,6560e427bc223bb6b6af89b3
ERG,Ergo,0.00000000,0.00000000,0.00000000,64a6dc74dfc9cf24638de7e1
ERGONE,ErgOne,0.00000000,0.00000000,0.00000000,6525ccdf3803adcf293064da
ERGOPAD,ErgoPad,0.00000000,0.00000000,0.00000000,652712bc43dea07f93f21468
ETH,Ethereum,0.00000000,0.00000000,0.00000000,642ee3ebd76a64b463b86c07
FEC,Ferritecoin,0.00000000,0.00000000,0.00000000,6510b5591ea9b3052497e8c1
FEVO,Flappy Bird Evolution,0.00000000,0.00000000,0.00000000,6532fcd047ada1707513d505
FIRO,Firo,0.00000000,0.00000000,0.00000000,642ee34cdee6a3f24661565c
FIURY,FiuryCoin,0.00000000,0.00000000,0.00000000,64fca83c90e0124f78851e24
FLUX,Flux,0.00000000,0.00000000,0.00000000,642ee475b61c62083ec7a8fe
FOUR,FourCoin,0.00000000,0.00000000,0.00000000,645b01bc9507ae0ffa9d2215
FREE,FREE Coin,0.00000000,0.00000000,0.00000000,6525cd9312cb0bf6b2058a9f
FREN,Frencoin,0.00000000,0.00000000,0.00000000,651dce5928c8e6f88edd7a93
FSC,FSOCIETY,0.00000000,0.00000000,0.00000000,64e221aeef14cb951560f1da
FTM,Fantom,0.00000000,0.00000000,0.00000000,6550108cd02018e6fd1f4a5c
GCX,GreasyCEX,0.00000000,0.00000000,0.00000000,65133a65810ef0cfcf2bd87c
GHOST,Ghost,0.00000000,0.00000000,0.00000000,64baad2491ebc62c3356db06
GLINK,GemLink,0.00000000,0.00000000,0.00000000,6478a5c9e97c556f69cb4bd6
GNG,GOLF AND GOLF,0.00000000,0.00000000,0.00000000,6548dcd726fcd4231f4bf2b0
GPN,Gamepass Network,0.00000000,0.00000000,0.00000000,64d509449e692e9a77463da2
HAC,Hacash,0.00000000,0.00000000,0.00000000,656602a73e0d2fcf706d490b
HACD,Hacash Diamond,0.00000000,0.00000000,0.00000000,656602b74eece03da77bf466
HMC,HORSEMANIA,0.00000000,0.00000000,0.00000000,64da3336fa0ae757e0e2d148
HOLE,HollowCat,0.00000000,0.00000000,0.00000000,65414146a962b795361c5d50
HTB,Hotbit Token,0.00000000,0.00000000,0.00000000,64c029890ceb0fa0a3f2d284
HUSH,Hush,0.00000000,0.00000000,0.00000000,64fa35002500e13a06811fed
IMX,ImmutableX,0.00000000,0.00000000,0.00000000,643bc68a2e1bf0345a18f931
JEKYLL,Jekyll,0.00000000,0.00000000,0.00000000,6501a662da550be98eee2e01
KARATE,Karate Combat,0.00000000,0.00000000,0.00000000,64738d40978544621b65e581
KAS,Kaspa,0.00000000,0.00000000,0.00000000,642eb80eccb4828145c20fa7
KCN,Kylacoin,0.00000000,0.00000000,0.00000000,64dfadec5e15b20c02732bca
KIIRO,Kiirocoin,0.00000000,0.00000000,0.00000000,64bff1e2f0a5122249c28d35
KLS,Karlsen,0.00000000,0.00000000,0.00000000,656f3dfe5bc65959e8322282
KUNKUN,KUNKUN Coin,0.00000000,0.00000000,0.00000000,6554d6ed6b4cb8b99df1587c
LAMBO,$LAMBO,0.00000000,0.00000000,0.00000000,645aa2c7ad45858411360dee
LANA,Lanacoin,0.00000000,0.00000000,0.00000000,653aa61b0de86772770d8c95
LCN,Lyncoin,0.00000000,0.00000000,0.00000000,64e7499d641c7b32919c2a03
LEO,LEO Token,0.00000000,0.00000000,0.00000000,643bc7cf3cb8729292c453e8
LHINU,Love Hate Inu,0.00000000,0.00000000,0.00000000,64cbb389507f59c0e3a7fa6f
LINK,Chainlink,0.00000000,0.00000000,0.00000000,643bc80e120ad2cf9d098f03
LOLS,LOLSMASH,0.00000000,0.00000000,0.00000000,65366e2f3963fbca51d77c79
LOVELY,Lovely Inu finance,0.00000000,0.00000000,0.00000000,64cd5e32b31201df884bfe4b
LTC,Litecoin,0.00000000,0.00000000,0.00000000,642adf903f427c34c3d521f4
MATIC,Polygon,0.00000000,0.00000000,0.00000000,642ee4ce936c72695972154a
MBRO,Mbrocoin,0.00000000,0.00000000,0.00000000,64c909573a64152d8a62f995
MCL,Marmara Credit Loops,0.00000000,0.00000000,0.00000000,654fc1a396aea715d6ed5900
MEWC,MeowCoin,0.00000000,0.00000000,0.00000000,643bd0c54f0b892d5f36566e
MKR,Maker,0.00000000,0.00000000,0.00000000,64c974855d3069a3330c0071
MN,MasterNoder,0.00000000,0.00000000,0.00000000,6542514ae95ca23a6b2a9050
MRX,Metrix,0.00000000,0.00000000,0.00000000,64f8cfbd71ffe820c401f547
MTBC,MateableCoin,0.00000000,0.00000000,0.00000000,64d94c3f40bd44a8f1762d70
MX,Mix,0.00000000,0.00000000,0.00000000,652bd5d33072f586f5e5d067
NAV,Navcoin,0.00000000,0.00000000,0.00000000,655d0ab889624558d4f8687c
NEOX,Neoxa,0.00000000,0.00000000,0.00000000,64d2e97ff48e7b26dd2311eb
NETKO,Netko,0.00000000,0.00000000,0.00000000,65491d378857d614bef64e9a
NEVO,Nevocoin,0.00000000,0.00000000,0.00000000,652020f28012f93d37757cc8
NEXA,Nexa,0.00000000,0.00000000,0.00000000,642ee45f702fa00c4e991906
NKYC,NONKYC,0.00000000,0.00000000,0.00000000,64369c724f86081e9d3f7fc9
NOSO,Noso,0.00000000,0.00000000,0.00000000,643cd711656ac13305cf1ca8
NOVO,Novo,0.00000000,0.00000000,0.00000000,64e4e23b18e2c1718ba0a954
NPH,Nephrite,0.00000000,0.00000000,0.00000000,64a71241cc90eae75fa1d523
NYANDOGE,NyanDOGE International,0.00000000,0.00000000,0.00000000,655b559a300e545547bf1135
NYANTE,Nyantereum International,0.00000000,0.00000000,0.00000000,655b557ed5b00caa2ad33838
OCP,OC Protocol,0.00000000,0.00000000,0.00000000,654b8a3aa2fab4317797474a
OLIO,Oliocoin,0.00000000,0.00000000,0.00000000,64d77b3f7401389461520c18
PACA,ALPHpaca,0.00000000,0.00000000,0.00000000,65021fef20b0f6b225bcedaa
PAI,PaideiaDAO,0.00000000,0.00000000,0.00000000,6525cc87882b741271397b7a
PAPRY,Paprikacoin,0.00000000,0.00000000,0.00000000,64fe3dd3453b8f4cdcf42101
PART,Particl,0.00000000,0.00000000,0.00000000,64cbde0886ab1f3c8b604b9f
PEPE,Pepe,0.00000000,0.00000000,0.00000000,644044595add44432a08ae00
PEPE2,Pepe 2.0,0.00000000,0.00000000,0.00000000,64a6ee4ba293b816610237ff
PEPERG,PEPErg,0.00000000,0.00000000,0.00000000,651dda2107fe088d7f0f43c6
PEPEW,PEPEPOW,0.00000000,0.00000000,0.00000000,6509c9cafb9185f2056dd506
PHX,Phoenix Blockchain,0.00000000,0.00000000,0.00000000,65426e708fcfe2c06e059dee
PIT,Pitbull Token,0.00000000,0.00000000,0.00000000,64d4121214bbc6cb096ddbf9
PIVX,PIVX,0.00000000,0.00000000,0.00000000,6478de008c861dc0a3e20bd0
PRCY,PRivaCY Coin,0.00000000,0.00000000,0.00000000,642eb82ae09f4aa2468f34ec
PRV,Incognito,0.00000000,0.00000000,0.00000000,6475f06679ccbb07f7e2b923
PYUSD,PayPal USD,0.00000000,0.00000000,0.00000000,64e77be09dcb9e59765d5aef
RC,Russellcoin,0.00000000,0.00000000,0.00000000,651eb06b0b5e5c1ffb6bebfa
RDD,Reddcoin,0.00000000,0.00000000,0.00000000,65062d7a82ac24d59ca4dbaa
REDB,RedBlock,0.00000000,0.00000000,0.00000000,654a71ed43f0a3fc501cbbe6
REDEV2,Redecoin,0.00000000,0.00000000,0.00000000,655295c55647f2ac8448df1a
RNDR,Render,0.00000000,0.00000000,0.00000000,647532c843a303d519524476
RSN,Rosen,0.00000000,0.00000000,0.00000000,654114ea2154b30a4020308a
RTC,Reaction,0.00000000,0.00000000,0.00000000,650a06fc16a6c96c48434680
RTM,Raptoreum,0.00000000,0.00000000,0.00000000,649f4ecc544e149753d2b3c7
RUSHCMC,RushCMC,0.00000000,0.00000000,0.00000000,6546bacbc67e02727a41d8ef
RVB,Reversed Bitcoin,0.00000000,0.00000000,0.00000000,64de227a647b327a3d0aa1c9
RVN,Ravencoin,0.00000000,0.00000000,0.00000000,64b6d38a0c43d20c702c2c82
RXD,Radiant,0.00000000,0.00000000,0.00000000,643ef8d942f578fd5ab43c1c
RYO,Ryo Currency,0.00000000,0.00000000,0.00000000,64d4d15dfa8ca6d4f304d572
SATOX,Satoxcoin,0.00000000,0.00000000,0.00000000,64d2f7ad2f13d46665b00208
SHIB,Shiba Inu,0.00000000,0.00000000,0.00000000,643bc8fb6aeb435f3e80ff05
SKOL,Skol!,0.00000000,0.00000000,0.00000000,64d963a2fd7f032ade42890d
SLOPY,Slopy,0.00000000,0.00000000,0.00000000,655cd6ff3c65bfd3c7f9d83d
SMCN,SafeMineCoin,0.00000000,0.00000000,0.00000000,64c7db5fae048d3bfc2ad572
SOL,Solana,0.00000000,0.00000000,0.00000000,642ee5122db3ed0ee2184356
SOLITON,Soliton,0.00000000,0.00000000,0.00000000,65564275cf6aae24e3c292b3
SUBI,Subi Network,0.00000000,0.00000000,0.00000000,655bd3a48f7824e46406dc7d
TAJ,Tajcoin,0.00000000,0.00000000,0.00000000,65383856422c6bec7d870f77
TON,Toncoin,0.00000000,0.00000000,0.00000000,643bc79263d88c91f48b9c88
TRRXITTE,TRRXITTE International,0.00000000,0.00000000,0.00000000,6540f51965711667f3d1fddd
TRX,TRON,0.00000000,0.00000000,0.00000000,642ee539852fe4f74b2413c4
TSUKA,Dejitaru Tsuka,0.00000000,0.00000000,0.00000000,645a8d5185d3f542accdcd95
TUSD,TrueUSD,0.00000000,0.00000000,0.00000000,64e39b851ea8900634118e90
TXBIT,Txbit,0.00000000,0.00000000,0.00000000,643ebfe6e647a3a65b8d10a9
TZU,Sun Tzu,0.00000000,0.00000000,0.00000000,64c14de97358e26558470b95
UNI,Uniswap,0.00000000,0.00000000,0.00000000,643bc59394839b7ce37c7334
USDC,USD Coin,0.00000000,0.00000000,0.00000000,643bc93a3b0efcbba25f0b79
USDT,Tether USDT,0.01679526,0.00000000,0.00000000,64367cb8fff6d79a1a316869
VAL,Validity,0.00000000,0.00000000,0.00000000,6532fd55112564ebf42768ad
VEIL,VEIL,0.00000000,0.00000000,0.00000000,64fa6867eeb5d87e24bc9f6a
VERI,Veritaseum,0.00000000,0.00000000,0.00000000,64caf963562fa4f55aefbcf8
VRSC,Verus Coin,0.00000000,0.00000000,0.00000000,64d4d174c94ca8eb15dd2921
WAGE,Digiwage,0.00000000,0.00000000,0.00000000,6570bac75ec7efaf68d92691
WOW,Wownero,0.00000000,0.00000000,0.00000000,649f45065e4c7b6cdffc75ab
WRY,Wrapped Ycash,0.00000000,0.00000000,0.00000000,6501c242da08f2dbacd57661
XCCX,BlockChainCoinX,0.00000000,0.00000000,0.00000000,64ed126f1ce7c02808fa1cb2
XEQ,Equilibria,0.00000000,0.00000000,0.00000000,64667be36f587c96450b1532
XHV,Haven Protocol,0.00000000,0.00000000,0.00000000,649c231de95e0a0557c0f980
XLA,Scala,0.00000000,0.00000000,0.00000000,64a730fa318766fdb3cfd5ac
XMR,Monero,0.00005336,0.00000000,0.00000000,642eb7ec9106435b5c57a7ed
XNA,Neurai,0.00000000,0.00000000,0.00000000,64c93fc90d0dc99434df89b8
XPE,Xpense,0.00000000,0.00000000,0.00000000,652fcbc129f91306857e7968
XRP,XRP,0.00000000,0.00000000,0.00000000,642ee424985039083f049273
XTCASH,traaittCASH,0.00000000,0.00000000,0.00000000,655fad263f26eecfbc294949
XTE,TRAAITT,0.00000000,0.00000000,0.00000000,655b661251701cc9fdb92322
XUSD,xUSD,0.00000000,0.00000000,0.00000000,654cf8489d22678b5a908361
XVG,Verge,0.00000000,0.00000000,0.00000000,64b765ff5d6dc31c9e2fe6a2
XVG-ERC20,Verge ERC20,0.00000000,0.00000000,0.00000000,65397edcdf2d599fdda5cca0
YEC,Ycash,0.00000000,0.00000000,0.00000000,6501a6a59b33438aab7bd364
ZANO,Zano,0.00000000,0.00000000,0.00000000,644528f5a67488175999967c
ZEC,Zcash,0.00000000,0.00000000,0.00000000,653474d526a924342f913fa8
ZEPH,Zephyr Protocol,0.00000000,0.00000000,0.00000000,6479ffe004c1e62488f61591
ZRS,Zephyr Reserve Share,0.00000000,0.00000000,0.00000000,652ef67ba231d48bb4ebda71
ZSD,Zephyr Stable Dollar,0.00000000,0.00000000,0.00000000,652ef660b25a0d2343d8057e